Using Python from: /users/acb20si/.conda/envs/lejepa/bin/python
Python 3.11.13
[WARN] Skipping row 1758: No TIFF found for FAJA=29, PCA=7
[WARN] Skipping row 1763: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 1768: No TIFF found for FAJA=29, PCA=7
[WARN] Skipping row 1775: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 1777: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 1779: No TIFF found for FAJA=29, PCA=7
[WARN] Skipping row 1793: No TIFF found for FAJA=29, PCA=7
[WARN] Skipping row 1797: No TIFF found for FAJA=29, PCA=7
[WARN] Skipping row 1800: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 1807: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 1817: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 1830: No TIFF found for FAJA=23, PCA=7
[WARN] Skipping row 1831: No TIFF found for FAJA=23, PCA=7
[WARN] Skipping row 1834: No TIFF found for FAJA=23, PCA=7
[WARN] Skipping row 1835: No TIFF found for FAJA=23, PCA=7
[WARN] Skipping row 1836: No TIFF found for FAJA=23, PCA=7
[WARN] Skipping row 1848: No TIFF found for FAJA=24, PCA=7
[WARN] Skipping row 1853: No TIFF found for FAJA=24, PCA=7
[WARN] Skipping row 1868: No TIFF found for FAJA=24, PCA=7
[WARN] Skipping row 1886: No TIFF found for FAJA=24, PCA=7
[WARN] Skipping row 1889: No TIFF found for FAJA=24, PCA=7
[WARN] Skipping row 1891: No TIFF found for FAJA=24, PCA=7
[WARN] Skipping row 1893: No TIFF found for FAJA=24, PCA=7
[WARN] Skipping row 1896: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 1900: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 1913: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 1920: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 1922: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 1932: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 1945: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 1997: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 1998: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2001: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2008: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2012: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2020: No TIFF found for FAJA=39, PCA=7
[WARN] Skipping row 2033: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2034: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2035: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2037: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2040: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2042: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2043: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2044: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2048: No TIFF found for FAJA=32, PCA=7
[WARN] Skipping row 2060: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 2063: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 2067: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 2069: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 2071: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 2076: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 2083: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 2084: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 2092: No TIFF found for FAJA=88, PCA=7
[WARN] Skipping row 2141: No TIFF found for FAJA=87, PCA=7
[WARN] Skipping row 2144: No TIFF found for FAJA=80, PCA=7
[WARN] Skipping row 2150: No TIFF found for FAJA=80, PCA=7
[WARN] Skipping row 2158: No TIFF found for FAJA=80, PCA=7
[WARN] Skipping row 2159: No TIFF found for FAJA=80, PCA=7
[WARN] Skipping row 2162: No TIFF found for FAJA=80, PCA=7
[WARN] Skipping row 2175: No TIFF found for FAJA=80, PCA=7
[WARN] Skipping row 2205: No TIFF found for FAJA=79, PCA=7
[WARN] Skipping row 2206: No TIFF found for FAJA=79, PCA=7
[WARN] Skipping row 2226: No TIFF found for FAJA=79, PCA=7
[WARN] Skipping row 2293: No TIFF found for FAJA=22, PCA=7
[WARN] Skipping row 2296: No TIFF found for FAJA=22, PCA=7
[WARN] Skipping row 2320: No TIFF found for FAJA=22, PCA=7
[WARN] Skipping row 2333: No TIFF found for FAJA=37, PCA=7
[WARN] Skipping row 2341: No TIFF found for FAJA=37, PCA=7
[WARN] Skipping row 2345: No TIFF found for FAJA=37, PCA=7
[WARN] Skipping row 2349: No TIFF found for FAJA=37, PCA=7
[WARN] Skipping row 2354: No TIFF found for FAJA=37, PCA=7
[WARN] Skipping row 2360: No TIFF found for FAJA=37, PCA=7
[WARN] Skipping row 2402: No TIFF found for FAJA=88, PCA=7
[WARN] Skipping row 2404: No TIFF found for FAJA=88, PCA=7
[WARN] Skipping row 2407: No TIFF found for FAJA=88, PCA=7
[WARN] Skipping row 2410: No TIFF found for FAJA=88, PCA=7
[WARN] Skipping row 2412: No TIFF found for FAJA=88, PCA=7
[WARN] Skipping row 2416: No TIFF found for FAJA=88, PCA=7
[WARN] Skipping row 2420: No TIFF found for FAJA=88, PCA=7
[WARN] Skipping row 2432: No TIFF found for FAJA=26, PCA=7
[WARN] Skipping row 2433: No TIFF found for FAJA=26, PCA=7
[WARN] Skipping row 2442: No TIFF found for FAJA=26, PCA=7
[WARN] Skipping row 2448: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 2451: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 2452: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 2453: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 2462: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 2465: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 2479: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 2482: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 2491: No TIFF found for FAJA=27, PCA=7
[WARN] Skipping row 2511: No TIFF found for FAJA=34, PCA=7
[WARN] Skipping row 2530: No TIFF found for FAJA=34, PCA=7
[WARN] Skipping row 2535: No TIFF found for FAJA=34, PCA=7
[WARN] Skipping row 2537: No TIFF found for FAJA=34, PCA=7
[WARN] Skipping row 2539: No TIFF found for FAJA=34, PCA=7
[WARN] Skipping row 2554: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2560: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2563: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2589: No TIFF found for FAJA=90, PCA=7
[WARN] Skipping row 2614: No TIFF found for FAJA=90, PCA=7
[WARN] Skipping row 2624: No TIFF found for FAJA=89, PCA=7
[WARN] Skipping row 2631: No TIFF found for FAJA=30, PCA=7
[WARN] Skipping row 2636: No TIFF found for FAJA=30, PCA=7
[WARN] Skipping row 2638: No TIFF found for FAJA=30, PCA=7
[WARN] Skipping row 2639: No TIFF found for FAJA=30, PCA=7
[WARN] Skipping row 2663: No TIFF found for FAJA=30, PCA=7
[WARN] Skipping row 2670: No TIFF found for FAJA=30, PCA=7
[WARN] Skipping row 2672: No TIFF found for FAJA=30, PCA=7
[WARN] Skipping row 2682: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 2685: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 2688: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 2691: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 2703: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 2707: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 2710: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 2712: No TIFF found for FAJA=31, PCA=7
[WARN] Skipping row 2714: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2718: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2737: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2740: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2753: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2755: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2761: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2763: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2770: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2775: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 2777: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 2780: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 2781: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 2783: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 2785: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 2798: No TIFF found for FAJA=77, PCA=7
[WARN] Skipping row 2805: No TIFF found for FAJA=77, PCA=7
[WARN] Skipping row 2806: No TIFF found for FAJA=77, PCA=7
[WARN] Skipping row 2807: No TIFF found for FAJA=77, PCA=7
[WARN] Skipping row 2814: No TIFF found for FAJA=77, PCA=7
[WARN] Skipping row 2836: No TIFF found for FAJA=28, PCA=7
[WARN] Skipping row 2862: No TIFF found for FAJA=28, PCA=7
[WARN] Skipping row 2865: No TIFF found for FAJA=28, PCA=7
[WARN] Skipping row 2881: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2887: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2888: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2890: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2894: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2901: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2902: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2912: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2917: No TIFF found for FAJA=35, PCA=7
[WARN] Skipping row 2942: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 2944: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 2947: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 2949: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 2957: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 2967: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 2970: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 2974: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 2975: No TIFF found for FAJA=36, PCA=7
[WARN] Skipping row 2984: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2986: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2988: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2992: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2995: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2998: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 2999: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 3004: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 3008: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 3010: No TIFF found for FAJA=86, PCA=7
[WARN] Skipping row 3017: No TIFF found for FAJA=85, PCA=7
[WARN] Skipping row 3018: No TIFF found for FAJA=85, PCA=7
[WARN] Skipping row 3022: No TIFF found for FAJA=85, PCA=7
[WARN] Skipping row 3025: No TIFF found for FAJA=85, PCA=7
[WARN] Skipping row 3026: No TIFF found for FAJA=25, PCA=7
[WARN] Skipping row 3039: No TIFF found for FAJA=25, PCA=7
[WARN] Skipping row 3050: No TIFF found for FAJA=25, PCA=7
[WARN] Skipping row 3060: No TIFF found for FAJA=25, PCA=7
[WARN] Skipping row 3083: No TIFF found for FAJA=26, PCA=7
