NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,89,5521,6.484,76,22,51,Aprovechable,En Pie,18S,597280,9109630,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,89,5530,9.21,95,20,51,Aprovechable,En Pie,18S,596833,9109643,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,89,5536,26.125,160,20,51,Aprovechable,En Pie,18S,596123,9109446,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,5545,6.205,80,19,51,Aprovechable,En Pie,18S,598213,9112590,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,5547,18.002,140,18,51,Aprovechable,En Pie,18S,597884,9112603,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,5554,9.21,95,20,51,Aprovechable,En Pie,18S,597735,9112597,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,5561,5.445,77,18,51,Aprovechable,En Pie,18S,597427,9112633,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,5570,3.306,60,18,51,Semillero,En Pie,18S,596695,9112628,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,46,5579,7.903,88,20,51,Aprovechable,En Pie,18S,596045,9112609,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,83,5605,6.176,82,18,51,Aprovechable,En Pie,18S,598291,9110042,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,83,5626,7.501,70,30,51,Semillero,En Pie,18S,596902,9110052,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,83,5631,15.522,130,18,51,Aprovechable,En Pie,18S,596034,9110044,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,82,5648,7.774,92,18,51,Aprovechable,En Pie,18S,597264,9110108,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,82,5652,7.501,70,30,51,Semillero,En Pie,18S,597356,9110086,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,85,5671,5.661,86,15,51,Aprovechable,En Pie,18S,598076,9109872,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,80,5701,3.674,60,20,51,Aprovechable,En Pie,18S,597088,9110265,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,80,5707,5.751,70,23,51,Aprovechable,En Pie,18S,596975,9110224,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,50,5719,11.736,100,23,51,Aprovechable,En Pie,18S,597410,9112367,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,50,5721,7.184,80,22,51,Aprovechable,En Pie,18S,597567,9112397,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,50,5724,7.184,80,22,51,Aprovechable,En Pie,18S,597691,9112377,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,50,5729,5.5,70,22,51,Aprovechable,En Pie,18S,597918,9112386,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,50,5733,4.527,65,21,51,Aprovechable,En Pie,18S,598318,9112345,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,76,5902,3.981,51,30,51,Semillero,En Pie,18S,598212,9110487,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,76,5903,4.471,74,16,51,Aprovechable,En Pie,18S,598251,9110528,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,49,5910,4.497,72,17,51,Aprovechable,En Pie,18S,598583,9112383,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,49,5923,5.511,60,30,51,Semillero,En Pie,18S,597953,9112434,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,49,5929,6.467,65,30,51,Semillero,En Pie,18S,597741,9112452,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,49,5937,4.57,83,13,51,Aprovechable,En Pie,18S,597134,9112421,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,49,5939,12.935,130,15,51,Aprovechable,En Pie,18S,596955,9112427,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,49,5945,5.166,75,18,51,Aprovechable,En Pie,18S,596616,9112424,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,49,5948,8.098,115,12,51,Aprovechable,En Pie,18S,596340,9112414,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,49,5954,6.123,100,12,51,Aprovechable,En Pie,18S,596078,9112418,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,85,6005,5.878,80,18,51,Aprovechable,En Pie,18S,596579,9109903,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,85,6012,7.829,95,17,51,Aprovechable,En Pie,18S,596199,9109909,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,92,6015,7.439,90,18,51,Aprovechable,En Pie,18S,598560,9109423,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,92,6016,5.637,57,34,51,Semillero,En Pie,18S,598066,9109393,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,92,6023,8.674,100,17,51,Aprovechable,En Pie,18S,597316,9109436,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,92,6024,5.225,80,16,51,Aprovechable,En Pie,18S,597189,9109408,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,92,6027,11.113,110,18,51,Aprovechable,En Pie,18S,597095,9109403,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,92,6029,11.756,120,16,51,Aprovechable,En Pie,18S,596922,9109388,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,92,6032,5.624,83,16,51,Aprovechable,En Pie,18S,596776,9109383,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,92,6036,4.898,80,15,51,Aprovechable,En Pie,18S,596612,9109413,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,92,6043,9.891,100,19,51,Aprovechable,En Pie,18S,596055,9109384,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,87,6207,7.829,95,17,51,Aprovechable,En Pie,18S,596490,9109748,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,87,6211,7.829,95,17,51,Aprovechable,En Pie,18S,596237,9109735,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,87,6213,10.496,110,17,51,Aprovechable,En Pie,18S,596030,9109775,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,42,6221,7.774,92,18,51,Aprovechable,En Pie,18S,597908,9112907,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,42,6222,9.185,60,50,51,Semillero,En Pie,18S,597805,9112911,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,88,6305,5.661,86,15,51,Aprovechable,En Pie,18S,597373,9109675,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,88,6307,9.261,110,15,51,Aprovechable,En Pie,18S,597130,9109668,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,88,6308,5.552,80,17,51,Aprovechable,En Pie,18S,597125,9109696,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,88,6309,8.674,100,17,51,Aprovechable,En Pie,18S,597116,9109717,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,88,6321,6.872,67,30,51,Semillero,En Pie,18S,596748,9109686,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,93,6331,2.939,60,16,51,Semillero,En Pie,18S,598684,9109351,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,93,6343,10.862,99,16,51,Aprovechable,En Pie,18S,597241,9109348,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,93,6346,10.761,89,19,51,Aprovechable,En Pie,18S,597130,9109352,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,93,6351,10.561,100,14,51,Aprovechable,En Pie,18S,596883,9109333,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,93,6357,19.14,150,11,51,Aprovechable,En Pie,18S,596766,9109362,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,90,6405,4.483,68,19,51,Aprovechable,En Pie,18S,597900,9109574,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,90,6409,5.445,77,18,51,Aprovechable,En Pie,18S,597495,9109551,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,90,6410,7.004,85,19,51,Aprovechable,En Pie,18S,597368,9109561,PC 08,
