id,label,x,y,final_status
650,azãºcar huayo,612215.6938870756,8752998.747562915,failed
651,azãºcar huayo,612177.4210333019,8753007.74226487,failed
652,azãºcar huayo,612211.6039471733,8753098.35088941,failed
653,azãºcar huayo,612102.9770994501,8753146.702563073,failed
654,azãºcar huayo,612125.9338713638,8753169.814482167,failed
655,azãºcar huayo,612105.4920318943,8753185.574685063,failed
656,azãºcar huayo,612090.0010923562,8753184.536298165,failed
657,azãºcar huayo,612079.8349269795,8753201.576746818,failed
658,azãºcar huayo,612011.2627221398,8753168.503701005,failed
660,azãºcar huayo,611786.992811137,8753136.042348191,failed
661,azãºcar huayo,611831.0184990944,8753109.526186999,failed
662,azãºcar huayo,611824.2303927809,8753089.083667047,failed
663,azãºcar huayo,611835.6453314256,8753184.33612136,failed
666,azãºcar huayo,611957.7616060651,8753102.460908497,failed
667,azãºcar huayo,611965.0934790103,8753124.498075642,failed
668,azãºcar huayo,611930.5269792975,8753048.950538933,failed
671,azãºcar huayo,612267.0222696172,8752777.340303842,failed
684,azãºcar huayo,611732.5287241502,8753130.25546774,failed
685,azãºcar huayo,611733.140170698,8753133.989565888,failed
686,azãºcar huayo,611763.8254213382,8753081.329644812,failed
687,azãºcar huayo,611740.1911654245,8753091.427026333,failed
688,azãºcar huayo,611749.3920800829,8753068.968601191,failed
689,azãºcar huayo,611757.9174692325,8753074.74836248,failed
693,azãºcar huayo,612012.5399242557,8753084.699382398,failed
694,azãºcar huayo,612056.3796177851,8753162.940979745,failed
695,azãºcar huayo,612036.7558326606,8753150.159815483,failed
627,shihuahuaco,610378.3174757884,8758738.579077315,failed
629,shihuahuaco,610266.1072219047,8758549.422756677,failed
630,shihuahuaco,610245.195127314,8758595.481217133,failed
635,shihuahuaco,610239.2059532072,8758732.438521411,failed
636,caoba,610604.5991749115,8758702.81636055,failed
637,caoba,610745.6017034946,8758730.512809997,failed
672,caoba,610445.2278430727,8758797.184887834,failed
673,caoba,610662.4164042915,8758652.03804271,failed
674,caoba,610621.8161339212,8758653.467120027,failed
648,azãºcar huayo,609553.0522296093,8757566.513634631,failed
681,azãºcar huayo,609419.0714363368,8757640.067743208,failed
682,azãºcar huayo,609441.838790945,8757545.005628478,failed
659,ana caspi,611745.4708941375,8753208.21051437,center
664,ana caspi,611933.2906073215,8753284.051751984,failed
665,ana caspi,611952.3241245763,8753318.63676501,failed
669,ana caspi,611910.1022153564,8753362.560941653,failed
670,ana caspi,611867.4427288185,8753414.766705288,failed
683,ana caspi,611770.4428164961,8753447.878538754,failed
690,ana caspi,611771.0458103872,8753435.808907473,failed
691,ana caspi,612087.737237065,8753267.077099862,failed
692,ana caspi,612149.384670923,8753241.606100427,failed
696,azãºcar huayo,611990.0891481935,8753210.704394875,failed
649,estoraque,610562.0847665224,8756519.488504913,failed
638,estoraque,609616.9712629165,8753823.36850876,failed
639,estoraque,610004.7914677295,8753833.862433884,failed
