,NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
14821,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,16,4442,5.225,80,16,51,Aprovechable,En Pie,18S,597938,9114737,PC 08,
14822,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,71,4444,6.613,90,16,51,Aprovechable,En Pie,18S,596868,9110905,PC 08,
14823,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,71,4445,3.234,65,15,51,Aprovechable,En Pie,18S,596525,9110866,PC 08,
14824,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,71,4448,6.026,81,18,51,Aprovechable,En Pie,18S,596251,9110881,PC 08,
14825,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,70,4451,6.613,90,16,51,Aprovechable,En Pie,18S,596138,9110949,PC 08,
14826,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,70,4452,9.773,113,15,51,Aprovechable,En Pie,18S,596298,9110953,PC 08,
14827,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,70,4457,4.001,66,18,51,Aprovechable,En Pie,18S,596707,9110957,PC 08,
14828,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,70,4459,7.201,97,15,51,Aprovechable,En Pie,18S,597074,9110959,PC 08,
14829,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,87,4484,8.17,59,46,51,Semillero,En Pie,18S,597827,9109768,PC 08,
14830,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,17,4498,6.2,90,15,51,Aprovechable,En Pie,18S,598437,9114656,PC 08,
14831,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,15,4523,6.842,68,29,51,Semillero,En Pie,18S,598464,9114795,PC 08,
14832,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,63,4526,4.5,70,18,51,Semillero,En Pie,18S,598673,9111437,PC 08,
14833,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,63,4541,7.439,90,18,51,Aprovechable,En Pie,18S,597621,9111424,PC 08,
14834,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,63,4544,5.898,85,16,51,Aprovechable,En Pie,18S,597586,9111449,PC 08,
