,ALMENDRO,ANA CASPI,AZ̼CAR HUAYO,CAOBA,CAPIRONA,CATAHUA,CATUABA,CEDRO,COPAIBA,CUMALA,ESTORAQUE,GUACAMAYO CASPI,HUIMBA,ISHPINGO,LUPUNA,MASHONASTE,PALO BASTON,PASHACO,QUILLOBORDON,SHIHUAHUACO,TAHUARI,YACUSHAPANA
ALMENDRO,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ANA CASPI,1,13,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0
AZ̼CAR HUAYO,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
CAOBA,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CAPIRONA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0
CATAHUA,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
CATUABA,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEDRO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COPAIBA,0,2,1,0,2,1,0,0,5,0,1,0,0,1,0,1,0,0,0,3,0,0
CUMALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ESTORAQUE,0,1,1,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0,2
GUACAMAYO CASPI,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
HUIMBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ISHPINGO,0,2,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,3,0,1
LUPUNA,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
MASHONASTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
PALO BASTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
PASHACO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
QUILLOBORDON,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
SHIHUAHUACO,0,2,0,3,2,3,0,0,0,0,0,0,0,1,1,2,0,0,0,14,0,0
TAHUARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YACUSHAPANA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
